GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2222
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	JLPMBEPE_00001	xerC_1	Cluster_29991
Operon1716	JLPMBEPE_02708	pyrH	Cluster_67110
Operon1717	JLPMBEPE_02709	tsf	Cluster_65367
Operon1718	JLPMBEPE_02710	rpsB	Cluster_24801
Operon1719	JLPMBEPE_02711	map_1	Cluster_24801
Operon1719	JLPMBEPE_02712	glnD	Cluster_24801
Operon1719	JLPMBEPE_02713	dapL	Cluster_24801
Operon1720	JLPMBEPE_02714	nhaK	Cluster_8008
Operon1721	JLPMBEPE_02715	yffB	Cluster_8008
Operon1721	JLPMBEPE_02716	dapD	Cluster_8008
Operon1722	JLPMBEPE_02717	csdA	Cluster_102152
Operon1722	JLPMBEPE_02718	sufE	Cluster_102152
Operon1723	JLPMBEPE_02719	tcdA	Cluster_103995
Operon1724	JLPMBEPE_02720	Unknown_Gene	Cluster_103995
Operon1725	JLPMBEPE_02721	dapE	Cluster_67471
Operon1725	JLPMBEPE_02722	rlmA	Cluster_67471
Operon1725	JLPMBEPE_02723	Unknown_Gene	Cluster_67471
Operon1726	JLPMBEPE_02724	cspA_2	Cluster_47936
Operon1727	JLPMBEPE_02725	plsB	Cluster_47936
Operon1728	JLPMBEPE_02726	Unknown_Gene	Cluster_133413
Operon1728	JLPMBEPE_02727	Unknown_Gene	Cluster_133413
Operon1729	JLPMBEPE_02728	mdtB_2	Cluster_42089
Operon1729	JLPMBEPE_02729	mdtA_3	Cluster_42089
Operon1730	JLPMBEPE_02730	Unknown_Gene	Cluster_19898
Operon1731	JLPMBEPE_02731	dmoA_2	Cluster_42438
Operon1732	JLPMBEPE_02732	Unknown_Gene	Cluster_42438
Operon1733	JLPMBEPE_02733	Unknown_Gene	Cluster_12435
Operon1734	JLPMBEPE_02734	rsmJ	Cluster_114226
Operon1735	JLPMBEPE_02735	Unknown_Gene	Cluster_114226
Operon1736	JLPMBEPE_02736	Unknown_Gene	Cluster_95130
Operon1736	JLPMBEPE_02737	Unknown_Gene	Cluster_95130
Operon1736	JLPMBEPE_02738	Unknown_Gene	Cluster_95130
Operon1736	JLPMBEPE_02739	Unknown_Gene	Cluster_95130
Operon1737	JLPMBEPE_02740	tsaB	Cluster_28612
Operon1738	JLPMBEPE_02741	adk	Cluster_41383
Operon1739	JLPMBEPE_02742	ppc	Cluster_75233
Operon1740	JLPMBEPE_02743	Unknown_Gene	Cluster_75233
Operon1741	JLPMBEPE_02744	Unknown_Gene	Cluster_36888
Operon1742	JLPMBEPE_02745	pal_2	Cluster_153804
Operon1743	JLPMBEPE_02746	Unknown_Gene	Cluster_80209
Operon1743	JLPMBEPE_02747	Unknown_Gene	Cluster_80209
Operon1743	JLPMBEPE_02748	Unknown_Gene	Cluster_80209
Operon1744	JLPMBEPE_02749	Unknown_Gene	Cluster_60450
Operon1744	JLPMBEPE_02750	Unknown_Gene	Cluster_60450
Operon1745	JLPMBEPE_02751	lysS	Cluster_121709
Operon1746	JLPMBEPE_02752	prfB_1	Cluster_28053
Operon1747	JLPMBEPE_02753	cheB_2	Cluster_153176
Operon1748	JLPMBEPE_02754	cheB_3	Cluster_45815
Operon1748	JLPMBEPE_02755	rcsC_11	Cluster_45815
Operon1748	JLPMBEPE_02756	Unknown_Gene	Cluster_45815
Operon1748	JLPMBEPE_02757	wspC	Cluster_45815
Operon1748	JLPMBEPE_02758	Unknown_Gene	Cluster_45815
Operon1748	JLPMBEPE_02759	Unknown_Gene	Cluster_45815
Operon1749	JLPMBEPE_02760	Unknown_Gene	Cluster_53313
Operon1750	JLPMBEPE_02761	ydcS	Cluster_53313
Operon1751	JLPMBEPE_02762	potA_3	Cluster_85189
Operon1751	JLPMBEPE_02763	ydcU	Cluster_85189
Operon1751	JLPMBEPE_02764	ydcV_4	Cluster_85189
Operon1751	JLPMBEPE_02765	prr	Cluster_85189
Operon1752	JLPMBEPE_02766	namA_3	NO_CLUSTER_ASSOCIATION_FOUND
Operon1753	JLPMBEPE_02767	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1754	JLPMBEPE_02768	Unknown_Gene	Cluster_65432
Operon1755	JLPMBEPE_02769	Unknown_Gene	Cluster_88135
Operon1756	JLPMBEPE_02770	mepS	Cluster_97912
Operon1757	JLPMBEPE_02771	hda	Cluster_61902
Operon1758	JLPMBEPE_02772	Unknown_Gene	Cluster_41914
Operon1758	JLPMBEPE_02773	Unknown_Gene	Cluster_41914
Operon1759	JLPMBEPE_02774	purM	Cluster_41914
Operon1759	JLPMBEPE_02775	purN	Cluster_41914
Operon1759	JLPMBEPE_02776	Unknown_Gene	Cluster_41914
Operon1760	JLPMBEPE_02777	Unknown_Gene	Cluster_26377
Operon1761	JLPMBEPE_02778	Unknown_Gene	Cluster_100112
Operon1761	JLPMBEPE_02779	mazG	Cluster_100112
Operon1762	JLPMBEPE_02780	relA	Cluster_119537
Operon1763	JLPMBEPE_02781	rlmD	Cluster_102837
Operon1763	JLPMBEPE_02782	cysM	Cluster_102837
Operon1764	JLPMBEPE_02783	pfeS_2	Cluster_82875
Operon1764	JLPMBEPE_02784	baeR	Cluster_82875
Operon1765	JLPMBEPE_02785	barA	Cluster_82875
Operon1765	JLPMBEPE_02786	ldhA	Cluster_82875
Operon1765	JLPMBEPE_02787	Unknown_Gene	Cluster_82875
Operon1765	JLPMBEPE_02788	Unknown_Gene	Cluster_82875
Operon1766	JLPMBEPE_02789	resA_1	Cluster_126260
Operon1767	JLPMBEPE_02790	yfgD	Cluster_126260
Operon1767	JLPMBEPE_02791	Unknown_Gene	Cluster_126260
Operon1767	JLPMBEPE_02792	Unknown_Gene	Cluster_126260
Operon1768	JLPMBEPE_02793	Unknown_Gene	Cluster_39863
Operon1768	JLPMBEPE_02794	ttcA	Cluster_39863
Operon1769	JLPMBEPE_02795	yohC_1	Cluster_39863
Operon1770	JLPMBEPE_02796	sprT	Cluster_94441
Operon1771	JLPMBEPE_02797	fpr_1	Cluster_102014
Operon1772	JLPMBEPE_02798	cmpR_6	Cluster_102014
Operon1773	JLPMBEPE_02799	dgkA	Cluster_135079
Operon1774	JLPMBEPE_02800	lnrK	Cluster_68561
Operon1775	JLPMBEPE_02801	Unknown_Gene	Cluster_53022
Operon1776	JLPMBEPE_02802	Unknown_Gene	Cluster_53022
Operon1777	JLPMBEPE_02803	Unknown_Gene	Cluster_77858
Operon1778	JLPMBEPE_02804	Unknown_Gene	Cluster_77858
Operon1779	JLPMBEPE_02805	recX	Cluster_141088
Operon1780	JLPMBEPE_02806	recA	Cluster_114403
Operon1781	JLPMBEPE_02807	pncC_2	Cluster_151436
Operon1782	JLPMBEPE_02808	Unknown_Gene	Cluster_64987
Operon1783	JLPMBEPE_02809	mutS	Cluster_64987
Operon1784	JLPMBEPE_02810	fdxA	Cluster_89022
Operon1785	JLPMBEPE_02811	rpoS	Cluster_110439
Operon1786	JLPMBEPE_02812	nlpD	Cluster_42736
Operon1787	JLPMBEPE_02813	pcm	Cluster_70110
Operon1787	JLPMBEPE_02814	surE	Cluster_70110
Operon1787	JLPMBEPE_02815	truD	Cluster_70110
Operon1787	JLPMBEPE_02816	ispF	Cluster_70110
Operon1788	JLPMBEPE_02817	yeiG	Cluster_111804
Operon1788	JLPMBEPE_02818	frmA	Cluster_111804
Operon1789	JLPMBEPE_02819	dmlR_11	Cluster_111804
Operon1790	JLPMBEPE_02820	ispD	Cluster_73833
Operon1790	JLPMBEPE_02821	ftsB	Cluster_73833
Operon1791	JLPMBEPE_02822	eno	Cluster_81074
Operon1792	JLPMBEPE_02823	kdsA_2	Cluster_37547
Operon1792	JLPMBEPE_02824	pyrG	Cluster_37547
Operon1793	JLPMBEPE_02825	tilS	Cluster_93127
Operon1794	JLPMBEPE_02826	accA	Cluster_111408
Operon1795	JLPMBEPE_02827	dnaE	Cluster_64966
Operon1796	JLPMBEPE_02828	rnhB	Cluster_140924
Operon1796	JLPMBEPE_02829	lpxB	Cluster_140924
Operon1797	JLPMBEPE_02830	lpxA	Cluster_106679
Operon1797	JLPMBEPE_02831	fabZ	Cluster_106679
Operon1798	JLPMBEPE_02832	lpxD_2	NO_CLUSTER_ASSOCIATION_FOUND
Operon1798	JLPMBEPE_02833	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1798	JLPMBEPE_02834	bamA_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon1799	JLPMBEPE_02835	msrQ	Cluster_131415
Operon1799	JLPMBEPE_02836	msrP	Cluster_131415
Operon1800	JLPMBEPE_02837	Unknown_Gene	Cluster_82968
Operon1801	JLPMBEPE_02838	ilvC	Cluster_148690
Operon1802	JLPMBEPE_02839	ilvH	Cluster_17408
Operon1802	JLPMBEPE_02840	ilvI	Cluster_17408
Operon1803	JLPMBEPE_02841	Unknown_Gene	Cluster_104901
Operon1803	JLPMBEPE_02842	Unknown_Gene	Cluster_104901
Operon1803	JLPMBEPE_02843	mrcB	Cluster_104901
Operon1804	JLPMBEPE_02844	Unknown_Gene	Cluster_104901
Operon1805	JLPMBEPE_02845	Unknown_Gene	Cluster_45108
Operon1806	JLPMBEPE_02846	Unknown_Gene	Cluster_82892
Operon1806	JLPMBEPE_02847	hmuV	Cluster_82892
Operon1806	JLPMBEPE_02848	hmuU_2	Cluster_82892
Operon1806	JLPMBEPE_02849	hmuT	Cluster_82892
Operon1807	JLPMBEPE_02850	Unknown_Gene	Cluster_82892
Operon1808	JLPMBEPE_02851	sfsA	Cluster_55217
Operon1808	JLPMBEPE_02852	aspC	Cluster_55217
Operon1809	JLPMBEPE_02853	dksA_1	Cluster_55217
Operon1810	JLPMBEPE_02854	gluQ	Cluster_142773
Operon1811	JLPMBEPE_02855	Unknown_Gene	Cluster_44663
Operon1811	JLPMBEPE_02856	sasA_6	Cluster_44663
Operon1811	JLPMBEPE_02857	zraR	Cluster_44663
Operon1812	JLPMBEPE_02858	pcnB	Cluster_88
Operon1812	JLPMBEPE_02859	folK	Cluster_88
Operon1813	JLPMBEPE_02860	panB_3	Cluster_40108
Operon1813	JLPMBEPE_02861	panC	Cluster_40108
Operon1814	JLPMBEPE_02862	pgi	Cluster_69536
Operon1815	JLPMBEPE_02863	acsA_2	Cluster_60057
Operon1815	JLPMBEPE_02864	Unknown_Gene	Cluster_60057
Operon1816	JLPMBEPE_02865	Unknown_Gene	Cluster_131898
Operon1817	JLPMBEPE_02866	Unknown_Gene	Cluster_145852
Operon1818	JLPMBEPE_02867	lsrG_2	Cluster_145852
Operon1819	JLPMBEPE_02868	Unknown_Gene	Cluster_39797
Operon1820	JLPMBEPE_02869	pnp	Cluster_43468
Operon1821	JLPMBEPE_02870	rpsO	Cluster_84675
Operon1822	JLPMBEPE_02871	truB	Cluster_105378
Operon1822	JLPMBEPE_02872	rbfA	Cluster_105378
Operon1823	JLPMBEPE_02873	infB	Cluster_143575
Operon1823	JLPMBEPE_02874	nusA	Cluster_143575
Operon1824	JLPMBEPE_02875	rimP	Cluster_130485
Operon1825	JLPMBEPE_02876	Unknown_Gene	Cluster_116272
Operon1826	JLPMBEPE_02877	Unknown_Gene	Cluster_16870
Operon1827	JLPMBEPE_02878	tpiA	Cluster_141178
Operon1828	JLPMBEPE_02879	glmM	Cluster_60789
Operon1828	JLPMBEPE_02880	folP	Cluster_60789
Operon1828	JLPMBEPE_02881	ftsH	Cluster_60789
Operon1829	JLPMBEPE_02882	rlmE	Cluster_115448
Operon1830	JLPMBEPE_02883	yhbY	Cluster_115448
Operon1831	JLPMBEPE_02884	Unknown_Gene	Cluster_112274
Operon1831	JLPMBEPE_02885	greA	Cluster_112274
Operon1831	JLPMBEPE_02886	carB	Cluster_112274
Operon1832	JLPMBEPE_02887	carA_1	Cluster_27625
Operon1833	JLPMBEPE_02888	dapB	Cluster_53434
Operon1833	JLPMBEPE_02889	dnaJ	Cluster_53434
Operon1834	JLPMBEPE_02890	dnaK_2	Cluster_115597
Operon1835	JLPMBEPE_02891	grpE	Cluster_62115
Operon1836	JLPMBEPE_02892	recN	Cluster_62115
Operon1837	JLPMBEPE_02893	rutD_2	NO_CLUSTER_ASSOCIATION_FOUND
Operon1838	JLPMBEPE_02894	Unknown_Gene	Cluster_114833
Operon1839	JLPMBEPE_02895	hisN	Cluster_73106
Operon1840	JLPMBEPE_02896	uspE_2	Cluster_73106
Operon1841	JLPMBEPE_02897	cntO_1	Cluster_66336
Operon1842	JLPMBEPE_02898	pagL_1	Cluster_36789
Operon1843	JLPMBEPE_02899	Unknown_Gene	Cluster_93830
Operon1844	JLPMBEPE_02900	gltR_3	Cluster_111906
Operon1845	JLPMBEPE_02901	sad	Cluster_111906
Operon1846	JLPMBEPE_02902	Unknown_Gene	Cluster_72418
Operon1847	JLPMBEPE_02903	rhaS_6	Cluster_76869
Operon1848	JLPMBEPE_02904	puuA_5	Cluster_76869
Operon1849	JLPMBEPE_02905	spuE_2	Cluster_141187
Operon1849	JLPMBEPE_02906	puuB_7	Cluster_141187
Operon1850	JLPMBEPE_02907	Unknown_Gene	Cluster_93831
Operon1851	JLPMBEPE_02908	sdaA_2	Cluster_85167
Operon1852	JLPMBEPE_02909	gcvA_8	Cluster_85167
Operon1853	JLPMBEPE_02910	Unknown_Gene	Cluster_80056
Operon1854	JLPMBEPE_02911	tagA	Cluster_114024
Operon1854	JLPMBEPE_02912	Unknown_Gene	Cluster_114024
Operon1854	JLPMBEPE_02913	mshA_3	Cluster_114024
Operon1854	JLPMBEPE_02914	Unknown_Gene	Cluster_114024
Operon1854	JLPMBEPE_02915	Unknown_Gene	Cluster_114024
Operon1854	JLPMBEPE_02916	cysE_2	Cluster_114024
Operon1854	JLPMBEPE_02917	Unknown_Gene	Cluster_114024
Operon1854	JLPMBEPE_02918	dapH_1	Cluster_114024
Operon1855	JLPMBEPE_02919	mpdB_1	Cluster_47269
Operon1856	JLPMBEPE_02920	Unknown_Gene	Cluster_120341
Operon1857	JLPMBEPE_02921	Unknown_Gene	Cluster_120341
Operon1857	JLPMBEPE_02922	Unknown_Gene	Cluster_120341
Operon1858	JLPMBEPE_02923	galE	Cluster_113299
Operon1859	JLPMBEPE_02924	Unknown_Gene	Cluster_38927
Operon1859	JLPMBEPE_02925	Unknown_Gene	Cluster_38927
Operon1859	JLPMBEPE_02926	Unknown_Gene	Cluster_38927
Operon1859	JLPMBEPE_02927	Unknown_Gene	Cluster_38927
Operon1860	JLPMBEPE_02928	Unknown_Gene	Cluster_42746
Operon1861	JLPMBEPE_02929	Unknown_Gene	Cluster_65059
Operon1862	JLPMBEPE_02930	atoE	Cluster_62481
Operon1863	JLPMBEPE_02931	scoB	Cluster_164903
Operon1863	JLPMBEPE_02932	scoA	Cluster_164903
Operon1864	JLPMBEPE_02933	gltC_3	Cluster_89308
Operon1864	JLPMBEPE_02934	Unknown_Gene	Cluster_89308
Operon1865	JLPMBEPE_02935	dnaE2	Cluster_122377
Operon1865	JLPMBEPE_02936	imuB	Cluster_122377
Operon1865	JLPMBEPE_02937	sulA_1	Cluster_122377
Operon1865	JLPMBEPE_02938	lexA_1	Cluster_122377
Operon1866	JLPMBEPE_02939	vldH	Cluster_122377
Operon1867	JLPMBEPE_02940	gltC_4	Cluster_77898
Operon1868	JLPMBEPE_02941	pcaK_4	Cluster_80069
Operon1869	JLPMBEPE_02942	Unknown_Gene	Cluster_69595
Operon1869	JLPMBEPE_02943	kstD_3	Cluster_69595
Operon1869	JLPMBEPE_02944	bacC_2	Cluster_69595
Operon1870	JLPMBEPE_02945	rhaS_7	Cluster_69595
Operon1871	JLPMBEPE_02946	Unknown_Gene	Cluster_139707
Operon1872	JLPMBEPE_02947	aam	Cluster_128678
Operon1872	JLPMBEPE_02948	proP_3	Cluster_128678
Operon1873	JLPMBEPE_02949	hipO_2	NO_CLUSTER_ASSOCIATION_FOUND
Operon1874	JLPMBEPE_02950	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon1875	JLPMBEPE_02951	Unknown_Gene	Cluster_29054
Operon1876	JLPMBEPE_02952	Unknown_Gene	Cluster_3224
Operon1877	JLPMBEPE_02953	Unknown_Gene	Cluster_3224
Operon1878	JLPMBEPE_02954	Unknown_Gene	Cluster_9383
Operon1878	JLPMBEPE_02955	Unknown_Gene	Cluster_9383
Operon1878	JLPMBEPE_02956	malQ	Cluster_9383
Operon1878	JLPMBEPE_02957	treZ	Cluster_9383
Operon1878	JLPMBEPE_02958	glgA	Cluster_9383
Operon1879	JLPMBEPE_02959	Unknown_Gene	Cluster_57997
Operon1880	JLPMBEPE_02960	Unknown_Gene	Cluster_57997
Operon1880	JLPMBEPE_02961	zwf_2	Cluster_57997
Operon1881	JLPMBEPE_02962	Unknown_Gene	Cluster_87035
Operon1882	JLPMBEPE_02963	Unknown_Gene	Cluster_76739
Operon1882	JLPMBEPE_02964	rutR_3	Cluster_76739
Operon1883	JLPMBEPE_02965	preA	Cluster_75172
Operon1883	JLPMBEPE_02966	gltD_2	Cluster_75172
Operon1884	JLPMBEPE_02967	dht	Cluster_24976
Operon1885	JLPMBEPE_02968	pucI_2	Cluster_24976
Operon1885	JLPMBEPE_02969	hyuC_2	Cluster_24976
Operon1886	JLPMBEPE_02970	rnz	Cluster_138910
Operon1886	JLPMBEPE_02971	Unknown_Gene	Cluster_138910
Operon1887	JLPMBEPE_02972	blc_2	Cluster_46589
Operon1888	JLPMBEPE_02973	nhaB	Cluster_82824
Operon1889	JLPMBEPE_02974	crt_1	Cluster_82824
Operon1889	JLPMBEPE_02975	nudC_3	Cluster_82824
Operon1890	JLPMBEPE_02976	yfcA_1	Cluster_58303
Operon1891	JLPMBEPE_02977	cpo	Cluster_130804
Operon1892	JLPMBEPE_02978	puuB_8	Cluster_17372
Operon1893	JLPMBEPE_02979	topB_1	Cluster_80385
Operon1894	JLPMBEPE_02980	Unknown_Gene	Cluster_128204
Operon1894	JLPMBEPE_02981	roxA	Cluster_128204
Operon1895	JLPMBEPE_02982	purB	Cluster_47341
Operon1896	JLPMBEPE_02983	hflD	Cluster_148549
Operon1896	JLPMBEPE_02984	mnmA	Cluster_148549
Operon1897	JLPMBEPE_02985	nudJ	Cluster_30154
Operon1898	JLPMBEPE_02986	icd_1	Cluster_16504
Operon1899	JLPMBEPE_02987	icd_2	Cluster_16504
Operon1900	JLPMBEPE_02988	cspD	Cluster_48829
Operon1901	JLPMBEPE_02989	clpS	Cluster_48829
Operon1901	JLPMBEPE_02990	clpA	Cluster_48829
Operon1902	JLPMBEPE_02991	infA	Cluster_116249
Operon1903	JLPMBEPE_02992	bpt	Cluster_148598
Operon1904	JLPMBEPE_02993	aat	Cluster_15456
Operon1905	JLPMBEPE_02994	ftsK	Cluster_15456
Operon1906	JLPMBEPE_02995	lolA	Cluster_143735
Operon1906	JLPMBEPE_02996	rarA	Cluster_143735
Operon1906	JLPMBEPE_02997	crcB	Cluster_143735
Operon1906	JLPMBEPE_02998	serS	Cluster_143735
Operon1906	JLPMBEPE_02999	cysG	Cluster_143735
Operon1907	JLPMBEPE_03000	yqjG	Cluster_114708
Operon1908	JLPMBEPE_03001	trpD_3	Cluster_55567
Operon1908	JLPMBEPE_03002	tusE	Cluster_55567
Operon1908	JLPMBEPE_03003	tusB	Cluster_55567
Operon1908	JLPMBEPE_03004	dsrF	Cluster_55567
Operon1908	JLPMBEPE_03005	dsrE	Cluster_55567
Operon1909	JLPMBEPE_03006	xanP	Cluster_58066
Operon1910	JLPMBEPE_03007	Unknown_Gene	Cluster_58066
Operon1911	JLPMBEPE_03008	yccA	Cluster_92625
Operon1912	JLPMBEPE_03009	Unknown_Gene	Cluster_92625
Operon1913	JLPMBEPE_03010	Unknown_Gene	Cluster_123832
Operon1914	JLPMBEPE_03011	Unknown_Gene	Cluster_40042
Operon1914	JLPMBEPE_03012	Unknown_Gene	Cluster_40042
Operon1915	JLPMBEPE_03013	prfB_2	Cluster_40042
Operon1916	JLPMBEPE_03014	Unknown_Gene	Cluster_25266
Operon1917	JLPMBEPE_03015	Unknown_Gene	Cluster_23880
Operon1918	JLPMBEPE_03016	Unknown_Gene	Cluster_29230
Operon1919	JLPMBEPE_03017	rhaR_3	Cluster_75865
Operon1920	JLPMBEPE_03018	Unknown_Gene	Cluster_56771
Operon1921	JLPMBEPE_03019	Unknown_Gene	Cluster_56771
Operon1922	JLPMBEPE_03020	Unknown_Gene	Cluster_19490
Operon1923	JLPMBEPE_03021	Unknown_Gene	Cluster_19490
Operon1924	JLPMBEPE_03022	Unknown_Gene	Cluster_151769
Operon1925	JLPMBEPE_03023	cynR_5	Cluster_43933
Operon1926	JLPMBEPE_03024	cynT_2	Cluster_43933
Operon1926	JLPMBEPE_03025	cynS_2	Cluster_43933
Operon1927	JLPMBEPE_03026	Unknown_Gene	Cluster_109170
Operon1928	JLPMBEPE_03027	nicP_9	Cluster_119470
Operon1928	JLPMBEPE_03028	Unknown_Gene	Cluster_119470
Operon1929	JLPMBEPE_03029	pcaJ	Cluster_18060
Operon1929	JLPMBEPE_03030	pcaI	Cluster_18060
Operon1930	JLPMBEPE_03031	Unknown_Gene	Cluster_18060
Operon1931	JLPMBEPE_03032	hdfR_7	Cluster_96669
Operon1931	JLPMBEPE_03033	Unknown_Gene	Cluster_96669
Operon1932	JLPMBEPE_03034	atzC	Cluster_35039
Operon1933	JLPMBEPE_03035	Unknown_Gene	Cluster_35039
Operon1934	JLPMBEPE_03036	Unknown_Gene	Cluster_135136
Operon1934	JLPMBEPE_03037	udh_3	Cluster_135136
Operon1935	JLPMBEPE_03038	kdgM	Cluster_25416
Operon1936	JLPMBEPE_03039	Unknown_Gene	Cluster_25416
Operon1937	JLPMBEPE_03040	ddpA_1	Cluster_138816
Operon1938	JLPMBEPE_03041	dppB_2	Cluster_141189
Operon1939	JLPMBEPE_03042	ddpA_2	Cluster_150181
Operon1940	JLPMBEPE_03043	ddpC_2	Cluster_144501
Operon1940	JLPMBEPE_03044	oppD	Cluster_144501
Operon1940	JLPMBEPE_03045	oppF	Cluster_144501
Operon1941	JLPMBEPE_03046	Unknown_Gene	Cluster_135164
Operon1942	JLPMBEPE_03047	pehX	Cluster_143621
Operon1943	JLPMBEPE_03048	lutR_4	Cluster_119216
Operon1944	JLPMBEPE_03049	lutR_5	Cluster_119216
Operon1945	JLPMBEPE_03050	nicS_2	Cluster_72397
Operon1946	JLPMBEPE_03051	nicB	Cluster_93806
Operon1946	JLPMBEPE_03052	nicA	Cluster_93806
Operon1947	JLPMBEPE_03053	nicR_1	Cluster_138068
Operon1947	JLPMBEPE_03054	nicR_2	Cluster_138068
Operon1948	JLPMBEPE_03055	nicX	Cluster_28273
Operon1949	JLPMBEPE_03056	nicC	Cluster_28273
Operon1949	JLPMBEPE_03057	nicD	Cluster_28273
Operon1949	JLPMBEPE_03058	maiA	Cluster_28273
Operon1949	JLPMBEPE_03059	nicF	Cluster_28273
Operon1950	JLPMBEPE_03060	nicT_1	Cluster_56464
Operon1951	JLPMBEPE_03061	nicP_10	Cluster_89397
Operon1952	JLPMBEPE_03062	Unknown_Gene	Cluster_4933
Operon1953	JLPMBEPE_03063	Unknown_Gene	Cluster_4933
Operon1954	JLPMBEPE_03064	dmlR_12	Cluster_118207
Operon1955	JLPMBEPE_03065	yfcA_2	Cluster_118207
Operon1956	JLPMBEPE_03066	Unknown_Gene	Cluster_81751
Operon1957	JLPMBEPE_03067	Unknown_Gene	Cluster_98855
Operon1958	JLPMBEPE_03068	Unknown_Gene	Cluster_135887
Operon1959	JLPMBEPE_03069	Unknown_Gene	Cluster_50950
Operon1960	JLPMBEPE_03070	Unknown_Gene	Cluster_50950
Operon1961	JLPMBEPE_03071	Unknown_Gene	Cluster_105675
Operon1962	JLPMBEPE_03072	Unknown_Gene	Cluster_105675
Operon1963	JLPMBEPE_03073	Unknown_Gene	Cluster_36472
Operon1964	JLPMBEPE_03074	fabG_7	Cluster_164013
Operon1964	JLPMBEPE_03075	Unknown_Gene	Cluster_164013
Operon1965	JLPMBEPE_03076	Unknown_Gene	Cluster_148501
Operon1966	JLPMBEPE_03077	Unknown_Gene	Cluster_60023
Operon1967	JLPMBEPE_03078	sohB	Cluster_60023
Operon1968	JLPMBEPE_03079	Unknown_Gene	Cluster_81078
Operon1969	JLPMBEPE_03080	Unknown_Gene	Cluster_95986
Operon1970	JLPMBEPE_03081	Unknown_Gene	Cluster_157581
Operon1970	JLPMBEPE_03082	yedK_1	Cluster_157581
Operon1971	JLPMBEPE_03083	lexA_2	Cluster_151466
Operon1971	JLPMBEPE_03084	umuC	Cluster_151466
Operon1971	JLPMBEPE_03085	Unknown_Gene	Cluster_151466
Operon1972	JLPMBEPE_03086	Unknown_Gene	Cluster_20282
Operon1973	JLPMBEPE_03087	Unknown_Gene	Cluster_123200
Operon1974	JLPMBEPE_03088	adhP	Cluster_12754
Operon1975	JLPMBEPE_03089	Unknown_Gene	Cluster_12754
Operon1976	JLPMBEPE_03090	yphA	Cluster_114016
Operon1977	JLPMBEPE_03091	Unknown_Gene	Cluster_53580
Operon1978	JLPMBEPE_03092	Unknown_Gene	Cluster_53580
Operon1978	JLPMBEPE_03093	kaiC	Cluster_53580
Operon1978	JLPMBEPE_03094	walR_2	Cluster_53580
Operon1979	JLPMBEPE_03095	csrA1	Cluster_42311
Operon1980	JLPMBEPE_03096	Unknown_Gene	Cluster_148548
Operon1981	JLPMBEPE_03097	btuD_3	Cluster_64561
Operon1981	JLPMBEPE_03098	cysT_2	Cluster_64561
Operon1981	JLPMBEPE_03099	modA	Cluster_64561
Operon1982	JLPMBEPE_03100	nmoA	Cluster_77759
Operon1982	JLPMBEPE_03101	Unknown_Gene	Cluster_77759
Operon1982	JLPMBEPE_03102	Unknown_Gene	Cluster_77759
Operon1983	JLPMBEPE_03103	Unknown_Gene	Cluster_77759
Operon1984	JLPMBEPE_03104	Unknown_Gene	Cluster_132900
Operon1984	JLPMBEPE_03105	tsdA	Cluster_132900
Operon1985	JLPMBEPE_03106	gtaB	Cluster_32212
Operon1986	JLPMBEPE_03107	gor	Cluster_117542
Operon1987	JLPMBEPE_03108	ahpC_1	Cluster_38680
Operon1988	JLPMBEPE_03109	ahpF	Cluster_90170
Operon1989	JLPMBEPE_03110	Unknown_Gene	Cluster_80610
Operon1990	JLPMBEPE_03111	Unknown_Gene	Cluster_102825
Operon1991	JLPMBEPE_03112	sstT	Cluster_113420
Operon1992	JLPMBEPE_03113	nhaR	Cluster_94421
Operon1993	JLPMBEPE_03114	Unknown_Gene	Cluster_94421
Operon1993	JLPMBEPE_03115	Unknown_Gene	Cluster_94421
Operon1994	JLPMBEPE_03116	Unknown_Gene	Cluster_13967
Operon1995	JLPMBEPE_03117	puuB_9	Cluster_58009
Operon1996	JLPMBEPE_03118	Unknown_Gene	Cluster_58009
Operon1997	JLPMBEPE_03119	Unknown_Gene	Cluster_72660
Operon1998	JLPMBEPE_03120	dctM_1	Cluster_108424
Operon1998	JLPMBEPE_03121	Unknown_Gene	Cluster_108424
Operon1998	JLPMBEPE_03122	Unknown_Gene	Cluster_108424
Operon1998	JLPMBEPE_03123	proA_3	Cluster_108424
Operon1999	JLPMBEPE_03124	hdfR_8	Cluster_108424
Operon2000	JLPMBEPE_03125	rhmA	Cluster_153133
Operon2000	JLPMBEPE_03126	ramA_3	Cluster_153133
Operon2001	JLPMBEPE_03127	yiaO	Cluster_27220
Operon2001	JLPMBEPE_03128	siaM	Cluster_27220
Operon2001	JLPMBEPE_03129	yiaM	Cluster_27220
Operon2002	JLPMBEPE_03130	Unknown_Gene	Cluster_27220
Operon2003	JLPMBEPE_03131	Unknown_Gene	Cluster_93143
Operon2004	JLPMBEPE_03132	Unknown_Gene	Cluster_93143
